Sector,Region,Year,Emissions_Mt
Deforestation,South-East Asia and Pacific,1994,1247.1652972032
Fires,South-East Asia and Pacific,1994,56.709417708461
Forest Land,South-East Asia and Pacific,1994,-164.98884931129
Organic Soil,South-East Asia and Pacific,1994,473.18889357886
Other Land,South-East Asia and Pacific,1994,214.97042183409
Deforestation,Southern Asia,1994,22.411324776583
Fires,Southern Asia,1994,11.310950449351
Forest Land,Southern Asia,1994,1053.5733035726
Organic Soil,Southern Asia,1994,26.613255577517
Other Land,Southern Asia,1994,-0.079827982839102
Deforestation,Africa,1995,1333.0114825679
Fires,Africa,1995,553.63474794254
Forest Land,Africa,1995,-2184.3122880809
Organic Soil,Africa,1995,59.450693630287
Other Land,Africa,1995,-138.50303020948
Deforestation,"Australia, Japan, and New Zealand",1995,14.760327365378
Fires,"Australia, Japan, and New Zealand",1995,405.88979128591
Forest Land,"Australia, Japan, and New Zealand",1995,-505.15723679619
Organic Soil,"Australia, Japan, and New Zealand",1995,10.861220505735
Other Land,"Australia, Japan, and New Zealand",1995,-1.2110954515521
Deforestation,Eastern Asia,1995,1.4294734735821
Fires,Eastern Asia,1995,135.13142328112
Forest Land,Eastern Asia,1995,-655.73128204413
Organic Soil,Eastern Asia,1995,26.097661378975
Other Land,Eastern Asia,1995,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1995,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1995,863.7485055681
Forest Land,Eastern Europe and West-Central Asia,1995,-2171.0486076129
Organic Soil,Eastern Europe and West-Central Asia,1995,118.67480596386
Other Land,Eastern Europe and West-Central Asia,1995,48.7799444509
Deforestation,Europe,1995,1.0944800134732
Fires,Europe,1995,35.742966446688
Forest Land,Europe,1995,-613.94145201824
Organic Soil,Europe,1995,195.08992631387
Other Land,Europe,1995,41.948379081271
Deforestation,Latin America and Caribbean,1995,2978.1710473467
Fires,Latin America and Caribbean,1995,149.71259615448
Forest Land,Latin America and Caribbean,1995,-2453.1926182311
Organic Soil,Latin America and Caribbean,1995,12.220086981587
Other Land,Latin America and Caribbean,1995,21.338577386839
Deforestation,Middle East,1995,0.0026134822240509
Fires,Middle East,1995,5.5048071357935
Forest Land,Middle East,1995,-5.1225439113909
Other Land,Middle East,1995,-1.1644663420868
Deforestation,North America,1995,71.820354831878
Fires,North America,1995,320.74531574017
Forest Land,North America,1995,-481.06078516831
Organic Soil,North America,1995,94.122061791492
Other Land,North America,1995,-93.566952102952
Deforestation,South-East Asia and Pacific,1995,1247.1652972032
Fires,South-East Asia and Pacific,1995,56.709417708461
Forest Land,South-East Asia and Pacific,1995,-160.55345681658
Organic Soil,South-East Asia and Pacific,1995,476.15074275635
Other Land,South-East Asia and Pacific,1995,211.86993622829
Deforestation,Southern Asia,1995,22.411324776583
Fires,Southern Asia,1995,11.310950449351
Forest Land,Southern Asia,1995,1059.6522667359
Organic Soil,Southern Asia,1995,26.639114309157
Other Land,Southern Asia,1995,-0.079827982839102
Deforestation,Africa,1996,1333.0114825679
Fires,Africa,1996,534.91237898821
Forest Land,Africa,1996,-2157.8430737048
Organic Soil,Africa,1996,59.427677507085
Other Land,Africa,1996,-138.61608008365
Deforestation,"Australia, Japan, and New Zealand",1996,14.760327365378
Fires,"Australia, Japan, and New Zealand",1996,256.51576265473
Forest Land,"Australia, Japan, and New Zealand",1996,-500.74899368174
Organic Soil,"Australia, Japan, and New Zealand",1996,10.973876303
Other Land,"Australia, Japan, and New Zealand",1996,-0.77182651625595
Deforestation,Eastern Asia,1996,1.4294734735821
Fires,Eastern Asia,1996,86.846467562128
Forest Land,Eastern Asia,1996,-641.51650541582
Organic Soil,Eastern Asia,1996,26.132427944974
Other Land,Eastern Asia,1996,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1996,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1996,741.68200672913
Forest Land,Eastern Europe and West-Central Asia,1996,-2165.0516626704
Organic Soil,Eastern Europe and West-Central Asia,1996,118.37578344482
Other Land,Eastern Europe and West-Central Asia,1996,8.548894668664
Deforestation,Europe,1996,1.0944800134732
Fires,Europe,1996,40.089628112825
Forest Land,Europe,1996,-639.59077817463
Organic Soil,Europe,1996,195.08904236372
Other Land,Europe,1996,40.023122842133
Deforestation,Latin America and Caribbean,1996,2978.1710473467
Fires,Latin America and Caribbean,1996,114.47519363882
Forest Land,Latin America and Caribbean,1996,-2440.7549745628
Organic Soil,Latin America and Caribbean,1996,12.461740807962
Other Land,Latin America and Caribbean,1996,20.128832900238
Deforestation,Middle East,1996,0.0026134822240509
Fires,Middle East,1996,8.0512175316883
Forest Land,Middle East,1996,-5.1100681862757
Other Land,Middle East,1996,-1.1644663420868
Deforestation,North America,1996,71.820354831878
Fires,North America,1996,151.65209705257
Forest Land,North America,1996,-489.11354545551
